Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,9,0.01,0.31,0.38760229772661087
75% Corpus,9,0.01,0.61,0.40170264979425063
75% Corpus,9,0.01,0.9099999999999999,0.4031745681113907
75% Corpus,9,0.01,symmetric,0.4547415483196516
75% Corpus,9,0.31,0.01,0.461452679164482
75% Corpus,9,0.31,0.31,0.43062414124999204
75% Corpus,9,0.31,0.61,0.4844449612820788
75% Corpus,9,0.31,0.9099999999999999,0.526270980527038
75% Corpus,9,0.31,symmetric,0.4562028709319414
75% Corpus,9,0.61,0.01,0.4646919945422746
75% Corpus,9,0.61,0.31,0.4630134884872929
75% Corpus,9,0.61,0.61,0.480774878403984
75% Corpus,9,0.61,0.9099999999999999,0.5150089276391568
75% Corpus,9,0.61,symmetric,0.4677775659434899
75% Corpus,9,0.9099999999999999,0.01,0.46622722174416903
75% Corpus,9,0.9099999999999999,0.31,0.47307143805066215
75% Corpus,9,0.9099999999999999,0.61,0.44762390524473605
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.4645639430348036
75% Corpus,9,0.9099999999999999,symmetric,0.4818360948187875
75% Corpus,9,symmetric,0.01,0.4529506976464545
75% Corpus,9,symmetric,0.31,0.3950369945905011
75% Corpus,9,symmetric,0.61,0.378175076877473
75% Corpus,9,symmetric,0.9099999999999999,0.4026080949788999
75% Corpus,9,symmetric,symmetric,0.44185643553946774
75% Corpus,9,asymmetric,0.01,0.4516147566608283
75% Corpus,9,asymmetric,0.31,0.4464530901199742
75% Corpus,9,asymmetric,0.61,0.4372698806689088
75% Corpus,9,asymmetric,0.9099999999999999,0.45406198096697903
75% Corpus,9,asymmetric,symmetric,0.44313636913581733
75% Corpus,10,0.01,0.01,0.4817923636940683
75% Corpus,10,0.01,0.31,0.3436692359643783
75% Corpus,10,0.01,0.61,0.4123726533045932
75% Corpus,10,0.01,0.9099999999999999,0.44651887361915055
75% Corpus,10,0.01,symmetric,0.4449009282929054
75% Corpus,10,0.31,0.01,0.4448610985245122
75% Corpus,10,0.31,0.31,0.3839955186323075
75% Corpus,10,0.31,0.61,0.3977703862623421
75% Corpus,10,0.31,0.9099999999999999,0.4945931739377718
75% Corpus,10,0.31,symmetric,0.5231405046000968
75% Corpus,10,0.61,0.01,0.4844626048926465
75% Corpus,10,0.61,0.31,0.5048632050236052
75% Corpus,10,0.61,0.61,0.556322381775848
75% Corpus,10,0.61,0.9099999999999999,0.5338747164727169
75% Corpus,10,0.61,symmetric,0.4537404385067424
75% Corpus,10,0.9099999999999999,0.01,0.4632296432997677
75% Corpus,10,0.9099999999999999,0.31,0.4515962576784426
75% Corpus,10,0.9099999999999999,0.61,0.49066362335953784
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.5761842878419627
75% Corpus,10,0.9099999999999999,symmetric,0.4660652832696191
75% Corpus,10,symmetric,0.01,0.49195933697707706
75% Corpus,10,symmetric,0.31,0.3502816200681335
75% Corpus,10,symmetric,0.61,0.3938163390757638
75% Corpus,10,symmetric,0.9099999999999999,0.4409284679382103
75% Corpus,10,symmetric,symmetric,0.45456438472247085
75% Corpus,10,asymmetric,0.01,0.41107816468286984
75% Corpus,10,asymmetric,0.31,0.48141117853030624
75% Corpus,10,asymmetric,0.61,0.46542192093429896
75% Corpus,10,asymmetric,0.9099999999999999,0.5893309172564325
75% Corpus,10,asymmetric,symmetric,0.44327437756284105
100% Corpus,2,0.01,0.01,0.3670688496975252
100% Corpus,2,0.01,0.31,0.3670688496975251
100% Corpus,2,0.01,0.61,0.3670688496975251
100% Corpus,2,0.01,0.9099999999999999,0.386661717794486
100% Corpus,2,0.01,symmetric,0.3670688496975251
100% Corpus,2,0.31,0.01,0.36811827715908735
100% Corpus,2,0.31,0.31,0.3681182771590874
100% Corpus,2,0.31,0.61,0.3670688496975251
100% Corpus,2,0.31,0.9099999999999999,0.386661717794486
100% Corpus,2,0.31,symmetric,0.3670688496975252
100% Corpus,2,0.61,0.01,0.3681182771590874
100% Corpus,2,0.61,0.31,0.3681182771590874
100% Corpus,2,0.61,0.61,0.36811827715908735
100% Corpus,2,0.61,0.9099999999999999,0.386661717794486
100% Corpus,2,0.61,symmetric,0.36811827715908735
100% Corpus,2,0.9099999999999999,0.01,0.3681182771590874
100% Corpus,2,0.9099999999999999,0.31,0.3681182771590874
100% Corpus,2,0.9099999999999999,0.61,0.3681182771590874
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.36811827715908735
100% Corpus,2,0.9099999999999999,symmetric,0.3681182771590874
100% Corpus,2,symmetric,0.01,0.3681182771590874
100% Corpus,2,symmetric,0.31,0.3681182771590874
100% Corpus,2,symmetric,0.61,0.36811827715908735
100% Corpus,2,symmetric,0.9099999999999999,0.386661717794486
100% Corpus,2,symmetric,symmetric,0.3681182771590874
100% Corpus,2,asymmetric,0.01,0.3728001114264019
100% Corpus,2,asymmetric,0.31,0.388328933426724
100% Corpus,2,asymmetric,0.61,0.388328933426724
100% Corpus,2,asymmetric,0.9099999999999999,0.388328933426724
100% Corpus,2,asymmetric,symmetric,0.388328933426724
100% Corpus,3,0.01,0.01,0.3358535534570759
100% Corpus,3,0.01,0.31,0.33328698809155416
100% Corpus,3,0.01,0.61,0.3697043969187587
100% Corpus,3,0.01,0.9099999999999999,0.394018413865481
100% Corpus,3,0.01,symmetric,0.3332390699399098
100% Corpus,3,0.31,0.01,0.34830286303025976
100% Corpus,3,0.31,0.31,0.3360464746678858
100% Corpus,3,0.31,0.61,0.3367249804029915
100% Corpus,3,0.31,0.9099999999999999,0.3784063792810402
100% Corpus,3,0.31,symmetric,0.3360464746678858
100% Corpus,3,0.61,0.01,0.34830286303025976
100% Corpus,3,0.61,0.31,0.34830286303025976
100% Corpus,3,0.61,0.61,0.3414665601268876
100% Corpus,3,0.61,0.9099999999999999,0.34457369173746893
100% Corpus,3,0.61,symmetric,0.3451955001924866
100% Corpus,3,0.9099999999999999,0.01,0.3344824850022963
100% Corpus,3,0.9099999999999999,0.31,0.3344824850022963
100% Corpus,3,0.9099999999999999,0.61,0.34478742808891205
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3408682829933958
100% Corpus,3,0.9099999999999999,symmetric,0.34830286303025976
100% Corpus,3,symmetric,0.01,0.34830286303025976
100% Corpus,3,symmetric,0.31,0.3360464746678858
100% Corpus,3,symmetric,0.61,0.34071222678125485
100% Corpus,3,symmetric,0.9099999999999999,0.3784063792810402
100% Corpus,3,symmetric,symmetric,0.3360464746678858
100% Corpus,3,asymmetric,0.01,0.3344824850022963
100% Corpus,3,asymmetric,0.31,0.3256449666556009
100% Corpus,3,asymmetric,0.61,0.3256449666556009
100% Corpus,3,asymmetric,0.9099999999999999,0.33510797272133974
100% Corpus,3,asymmetric,symmetric,0.3256449666556009
100% Corpus,4,0.01,0.01,0.4384979783694837
100% Corpus,4,0.01,0.31,0.4341846118746889
100% Corpus,4,0.01,0.61,0.4616245394661883
100% Corpus,4,0.01,0.9099999999999999,0.5175818867055524
100% Corpus,4,0.01,symmetric,0.4341846118746889
100% Corpus,4,0.31,0.01,0.4261981273348793
100% Corpus,4,0.31,0.31,0.4084654328433157
100% Corpus,4,0.31,0.61,0.4551584255702389
100% Corpus,4,0.31,0.9099999999999999,0.5132334585778198
100% Corpus,4,0.31,symmetric,0.4227162578352714
100% Corpus,4,0.61,0.01,0.42760933976460525
100% Corpus,4,0.61,0.31,0.43822385362757005
100% Corpus,4,0.61,0.61,0.46943411310704963
100% Corpus,4,0.61,0.9099999999999999,0.467273423531659
100% Corpus,4,0.61,symmetric,0.43230400599430346
100% Corpus,4,0.9099999999999999,0.01,0.43460148719915803
100% Corpus,4,0.9099999999999999,0.31,0.4137171731629642
100% Corpus,4,0.9099999999999999,0.61,0.46599019298937355
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4533342531025167
100% Corpus,4,0.9099999999999999,symmetric,0.4137171731629642
100% Corpus,4,symmetric,0.01,0.4050128154542406
100% Corpus,4,symmetric,0.31,0.42271625783527145
100% Corpus,4,symmetric,0.61,0.4686854007842701
100% Corpus,4,symmetric,0.9099999999999999,0.5120403644952778
100% Corpus,4,symmetric,symmetric,0.4227162578352714
100% Corpus,4,asymmetric,0.01,0.4123306831320818
100% Corpus,4,asymmetric,0.31,0.3827940154277972
100% Corpus,4,asymmetric,0.61,0.4439614833656848
100% Corpus,4,asymmetric,0.9099999999999999,0.5309294292330013
100% Corpus,4,asymmetric,symmetric,0.3827940154277972
100% Corpus,5,0.01,0.01,0.37344139833981627
100% Corpus,5,0.01,0.31,0.3687476463374729
100% Corpus,5,0.01,0.61,0.4140955256801281
100% Corpus,5,0.01,0.9099999999999999,0.395306576267784
100% Corpus,5,0.01,symmetric,0.3727610691323481
100% Corpus,5,0.31,0.01,0.37832861786198047
100% Corpus,5,0.31,0.31,0.3689721733507206
100% Corpus,5,0.31,0.61,0.41331595063933557
100% Corpus,5,0.31,0.9099999999999999,0.40370126409504337
100% Corpus,5,0.31,symmetric,0.36460009789770415
100% Corpus,5,0.61,0.01,0.3717387610090047
100% Corpus,5,0.61,0.31,0.3807342953764333
100% Corpus,5,0.61,0.61,0.3998699992815194
100% Corpus,5,0.61,0.9099999999999999,0.385754230828709
100% Corpus,5,0.61,symmetric,0.38750700328216486
100% Corpus,5,0.9099999999999999,0.01,0.39284069765620544
100% Corpus,5,0.9099999999999999,0.31,0.39990315664119286
100% Corpus,5,0.9099999999999999,0.61,0.41449169170181505
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.38485845261708623
100% Corpus,5,0.9099999999999999,symmetric,0.3729972160750136
100% Corpus,5,symmetric,0.01,0.37722650437311167
100% Corpus,5,symmetric,0.31,0.375948473959825
100% Corpus,5,symmetric,0.61,0.41359881353820394
100% Corpus,5,symmetric,0.9099999999999999,0.42078965397271456
100% Corpus,5,symmetric,symmetric,0.36426838980570764
100% Corpus,5,asymmetric,0.01,0.37174822971308874
100% Corpus,5,asymmetric,0.31,0.3754083667654694
100% Corpus,5,asymmetric,0.61,0.38768266148328645
100% Corpus,5,asymmetric,0.9099999999999999,0.41356278012220304
100% Corpus,5,asymmetric,symmetric,0.3741627940617409
100% Corpus,6,0.01,0.01,0.47702345891442893
100% Corpus,6,0.01,0.31,0.4849947983626636
100% Corpus,6,0.01,0.61,0.4846480685137822
100% Corpus,6,0.01,0.9099999999999999,0.4755946612258759
100% Corpus,6,0.01,symmetric,0.4780609845560437
100% Corpus,6,0.31,0.01,0.46834969341351096
100% Corpus,6,0.31,0.31,0.47389611157128625
100% Corpus,6,0.31,0.61,0.4816212907405834
100% Corpus,6,0.31,0.9099999999999999,0.5101641334948047
100% Corpus,6,0.31,symmetric,0.47139591588275653
100% Corpus,6,0.61,0.01,0.47688868412033464
100% Corpus,6,0.61,0.31,0.4766932976259528
100% Corpus,6,0.61,0.61,0.4972988101480527
100% Corpus,6,0.61,0.9099999999999999,0.47992980583374595
100% Corpus,6,0.61,symmetric,0.48629050353707787
100% Corpus,6,0.9099999999999999,0.01,0.47558394244800706
100% Corpus,6,0.9099999999999999,0.31,0.4846720801633284
100% Corpus,6,0.9099999999999999,0.61,0.5031106474313892
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.491446015536783
100% Corpus,6,0.9099999999999999,symmetric,0.4777334948099004
100% Corpus,6,symmetric,0.01,0.4670886007796014
100% Corpus,6,symmetric,0.31,0.4854645416772309
100% Corpus,6,symmetric,0.61,0.48718489612110377
100% Corpus,6,symmetric,0.9099999999999999,0.4996287750864104
100% Corpus,6,symmetric,symmetric,0.47367064378808577
100% Corpus,6,asymmetric,0.01,0.4720893937880087
100% Corpus,6,asymmetric,0.31,0.47036784819055427
100% Corpus,6,asymmetric,0.61,0.5242547888980512
100% Corpus,6,asymmetric,0.9099999999999999,0.5205992592066738
100% Corpus,6,asymmetric,symmetric,0.47552629855801554
100% Corpus,7,0.01,0.01,0.46087335254781314
100% Corpus,7,0.01,0.31,0.42970469141323747
100% Corpus,7,0.01,0.61,0.4154485800981732
100% Corpus,7,0.01,0.9099999999999999,0.44878210264361684
100% Corpus,7,0.01,symmetric,0.43397788277729743
100% Corpus,7,0.31,0.01,0.453686294387104
100% Corpus,7,0.31,0.31,0.4311233413204922
100% Corpus,7,0.31,0.61,0.43377422968987484
100% Corpus,7,0.31,0.9099999999999999,0.45979602779976825
100% Corpus,7,0.31,symmetric,0.4298979686053915
100% Corpus,7,0.61,0.01,0.4650407938955091
100% Corpus,7,0.61,0.31,0.41669036935985204
100% Corpus,7,0.61,0.61,0.42832767261167515
100% Corpus,7,0.61,0.9099999999999999,0.4465221673656879
100% Corpus,7,0.61,symmetric,0.43199433732356673
100% Corpus,7,0.9099999999999999,0.01,0.463608481235675
100% Corpus,7,0.9099999999999999,0.31,0.4308107547044216
100% Corpus,7,0.9099999999999999,0.61,0.4104319552321168
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.4539557315601063
100% Corpus,7,0.9099999999999999,symmetric,0.46028301771164626
100% Corpus,7,symmetric,0.01,0.45940445124036383
100% Corpus,7,symmetric,0.31,0.42970469141323747
100% Corpus,7,symmetric,0.61,0.42970469141323747
100% Corpus,7,symmetric,0.9099999999999999,0.44387548446701847
100% Corpus,7,symmetric,symmetric,0.4310615700264609
100% Corpus,7,asymmetric,0.01,0.4443068398355701
100% Corpus,7,asymmetric,0.31,0.43100560899202817
100% Corpus,7,asymmetric,0.61,0.4058937697580716
100% Corpus,7,asymmetric,0.9099999999999999,0.46801470502637255
100% Corpus,7,asymmetric,symmetric,0.4297973045741129
100% Corpus,8,0.01,0.01,0.4272357454237733
100% Corpus,8,0.01,0.31,0.447382613230281
100% Corpus,8,0.01,0.61,0.4225808549065425
100% Corpus,8,0.01,0.9099999999999999,0.4788489935166156
100% Corpus,8,0.01,symmetric,0.4302178394226275
100% Corpus,8,0.31,0.01,0.4457952361615112
100% Corpus,8,0.31,0.31,0.4354776415026147
100% Corpus,8,0.31,0.61,0.45331500397068736
100% Corpus,8,0.31,0.9099999999999999,0.4596063070984227
100% Corpus,8,0.31,symmetric,0.4525780009956489
100% Corpus,8,0.61,0.01,0.4340797623616514
100% Corpus,8,0.61,0.31,0.4217172446484355
100% Corpus,8,0.61,0.61,0.4362333699198748
100% Corpus,8,0.61,0.9099999999999999,0.43929662127861957
100% Corpus,8,0.61,symmetric,0.4412354876352713
100% Corpus,8,0.9099999999999999,0.01,0.4294578635660602
100% Corpus,8,0.9099999999999999,0.31,0.4188297742219632
100% Corpus,8,0.9099999999999999,0.61,0.43274196981336654
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.46561462293091005
100% Corpus,8,0.9099999999999999,symmetric,0.4409334535542294
100% Corpus,8,symmetric,0.01,0.4246601143879202
100% Corpus,8,symmetric,0.31,0.44265034148016885
100% Corpus,8,symmetric,0.61,0.43283357673026507
100% Corpus,8,symmetric,0.9099999999999999,0.4546372702787089
100% Corpus,8,symmetric,symmetric,0.43071873315557996
100% Corpus,8,asymmetric,0.01,0.43818594579992665
100% Corpus,8,asymmetric,0.31,0.39139018060627717
100% Corpus,8,asymmetric,0.61,0.455649893310736
100% Corpus,8,asymmetric,0.9099999999999999,0.43087659465283695
100% Corpus,8,asymmetric,symmetric,0.43073641520360273
100% Corpus,9,0.01,0.01,0.3837377554166647
100% Corpus,9,0.01,0.31,0.38317106092912
100% Corpus,9,0.01,0.61,0.4135211789121047
100% Corpus,9,0.01,0.9099999999999999,0.40954550316879124
100% Corpus,9,0.01,symmetric,0.38242372865026547
100% Corpus,9,0.31,0.01,0.4037057992044882
100% Corpus,9,0.31,0.31,0.3711769888254308
